,Model Name,R2_Score(Training),R2_Score_Testing,Depth,Iterations,Learning Rate
138,CatBoost Regressor Tuned,0.6675568419384693,0.8438636073864609,1.0,1750.0,0.05
139,CatBoost Regressor Tuned,0.6785776509074883,0.8371250638325505,1.0,1750.0,0.07
140,CatBoost Regressor Tuned,0.6906326499197648,0.8249321659072022,1.0,1750.0,0.1
141,CatBoost Regressor Tuned,0.4108991826534144,0.6428720300351491,1.0,2000.0,0.001
142,CatBoost Regressor Tuned,0.5963848607613597,0.8338936737566505,1.0,2000.0,0.005
143,CatBoost Regressor Tuned,0.6119679190529566,0.8422589438930315,1.0,2000.0,0.007
144,CatBoost Regressor Tuned,0.6260606188546103,0.8485854656851839,1.0,2000.0,0.01
145,CatBoost Regressor Tuned,0.644407901096901,0.8475156110078708,1.0,2000.0,0.02
146,CatBoost Regressor Tuned,0.6559235720660541,0.8440386677188071,1.0,2000.0,0.03
147,CatBoost Regressor Tuned,0.6653532780934588,0.8419843823469503,1.0,2000.0,0.04
148,CatBoost Regressor Tuned,0.6716567690789648,0.8421332531955,1.0,2000.0,0.05
149,CatBoost Regressor Tuned,0.6829583755941736,0.8346788532975191,1.0,2000.0,0.07
150,CatBoost Regressor Tuned,0.6953966440154453,0.823155747942079,1.0,2000.0,0.1
151,CatBoost Regressor Tuned,0.3706642942785475,0.5750251737206562,2.0,1000.0,0.001
152,CatBoost Regressor Tuned,0.6048666578781704,0.8327220762415967,2.0,1000.0,0.005
153,CatBoost Regressor Tuned,0.6268499006177589,0.8491976985881817,2.0,1000.0,0.007
154,CatBoost Regressor Tuned,0.6481612439843698,0.8543838834118742,2.0,1000.0,0.01
155,CatBoost Regressor Tuned,0.7012389305466075,0.8686387141239875,2.0,1000.0,0.02
156,CatBoost Regressor Tuned,0.7363361893059515,0.8632837439713835,2.0,1000.0,0.03
157,CatBoost Regressor Tuned,0.7597274060940032,0.8632812652398238,2.0,1000.0,0.04
