,Model Name,R2_Score(Training),R2_Score_Testing,Depth,Iterations,Learning Rate,Score Difference
124,CatBoost Regressor Tuned,0.949994518066674,0.8522446215194454,9.0,1000.0,0.02,0.09774989654722865
125,CatBoost Regressor Tuned,0.8617859645245045,0.8522410088611538,3.0,1000.0,0.05,0.009544955663350674
126,CatBoost Regressor Tuned,0.9374708071519696,0.8522210195431709,6.0,1100.0,0.03,0.08524978760879875
127,CatBoost Regressor Tuned,0.8923684125341559,0.8521884321013394,4.0,2000.0,0.02,0.04017998043281645
128,CatBoost Regressor Tuned,0.9511674053989728,0.8521708705950551,9.0,2000.0,0.01,0.09899653480391768
129,CatBoost Regressor Tuned,0.922520768471528,0.8518648267519994,6.0,1400.0,0.02,0.0706559417195286
130,CatBoost Regressor Tuned,0.9651615459453332,0.8518387292265112,8.0,1000.0,0.03,0.11332281671882205
131,CatBoost Regressor Tuned,0.9193523162363644,0.8512813860460052,5.0,1250.0,0.03,0.06807093019035915
132,CatBoost Regressor Tuned,0.9542480224753632,0.8512554007007911,10.0,1750.0,0.01,0.10299262177457214
133,CatBoost Regressor Tuned,0.894874286123571,0.8511009541521891,4.0,1400.0,0.03,0.04377333197138189
134,CatBoost Regressor Tuned,0.925792745030908,0.8510222529116269,6.0,1450.0,0.02,0.0747704921192811
135,CatBoost Regressor Tuned,0.952916733417677,0.8507510368335025,8.0,1250.0,0.02,0.10216569658417451
136,CatBoost Regressor Tuned,0.941069354960158,0.850622427431234,6.0,1150.0,0.03,0.09044692752892403
137,CatBoost Regressor Tuned,0.9132999308980082,0.8502490492694343,5.0,1750.0,0.02,0.06305088162857386
138,CatBoost Regressor Tuned,0.8668187623548844,0.8501477634645879,3.0,1050.0,0.05,0.01667099889029655
139,CatBoost Regressor Tuned,0.9231983003943928,0.8501402275643385,5.0,1300.0,0.03,0.07305807283005428
140,CatBoost Regressor Tuned,0.948699446383699,0.850125065214934,7.0,1500.0,0.02,0.09857438116876494
141,CatBoost Regressor Tuned,0.9680314548724894,0.8500180502937312,8.0,1050.0,0.03,0.1180134045787582
142,CatBoost Regressor Tuned,0.8650608943402025,0.8499237169925635,3.0,1750.0,0.03,0.015137177347638975
143,CatBoost Regressor Tuned,0.8569085719549236,0.8498946266365194,3.0,1200.0,0.04,0.007013945318404269
144,CatBoost Regressor Tuned,0.8909338409163582,0.8498688006919073,4.0,1000.0,0.04,0.0410650402244509
145,CatBoost Regressor Tuned,0.9290933837783422,0.8497982469532124,6.0,1500.0,0.02,0.07929513682512979
146,CatBoost Regressor Tuned,0.944064484359225,0.8497971493370213,6.0,1200.0,0.03,0.09426733502220364
147,CatBoost Regressor Tuned,0.893961103629901,0.849516958795699,3.0,1000.0,0.07,0.044444144834202004
148,CatBoost Regressor Tuned,0.9289363340045872,0.8494807868755359,5.0,1000.0,0.04,0.07945554712905134
149,CatBoost Regressor Tuned,0.8984526802740618,0.849369534056623,4.0,1450.0,0.03,0.04908314621743881
